Raw Data Name,ProjectTidyDataset.txt Column Name,Conversion
fBodyGyro-std()-Z,FrequencyBodyGyro.std.Z,same as above
fBodyGyro-meanFreq()-X,FrequencyBodyGyro.meanFreq.X,same as above
fBodyGyro-meanFreq()-Y,FrequencyBodyGyro.meanFreq.Y,same as above
fBodyGyro-meanFreq()-Z,FrequencyBodyGyro.meanFreq.Z,same as above
fBodyAccMag-mean(),FrequencyBodyAccMag.mean,same as above
fBodyAccMag-std(),FrequencyBodyAccMag.std,same as above
fBodyAccMag-meanFreq(),FrequencyBodyAccMag.meanFreq,same as above
fBodyBodyAccJerkMag-mean(),FrequencyBodyBodyAccJerkMag.mean,same as above
fBodyBodyAccJerkMag-std(),FrequencyBodyBodyAccJerkMag.std,same as above
fBodyBodyAccJerkMag-meanFreq(),FrequencyBodyBodyAccJerkMag.meanFreq,same as above
fBodyBodyGyroMag-mean(),FrequencyBodyBodyGyroMag.mean,same as above
fBodyBodyGyroMag-std(),FrequencyBodyBodyGyroMag.std,same as above
fBodyBodyGyroMag-meanFreq(),FrequencyBodyBodyGyroMag.meanFreq,same as above
fBodyBodyGyroJerkMag-mean(),FrequencyBodyBodyGyroJerkMag.mean,same as above
fBodyBodyGyroJerkMag-std(),FrequencyBodyBodyGyroJerkMag.std,same as above
fBodyBodyGyroJerkMag-meanFreq(),FrequencyBodyBodyGyroJerkMag.meanFreq,same as above
